,,,,,,,Daily Price Arrival Report-07-11-2025 to 11-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,15.90,Metric Tonnes,12-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,800.00","1,400.00",Rs./Quintal,31.20,Metric Tonnes,11-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,600.00,"1,800.00","1,200.00",Rs./Quintal,29.10,Metric Tonnes,09-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"2,000.00","1,400.00",Rs./Quintal,21.00,Metric Tonnes,08-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,25.60,Metric Tonnes,07-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,23.90,Metric Tonnes,06-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,16.50,Metric Tonnes,05-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,26.40,Metric Tonnes,04-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,22.20,Metric Tonnes,02-07-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,29.20,Metric Tonnes,01-07-2026
