,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Kolhapur,Vegetables,Tomato,14-04-2021,34.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-04-2021,67.00,Metric Tonnes,670.15,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-04-2021,13.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,17-04-2021,52.00,Metric Tonnes,632.69,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-04-2021,4.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-04-2021,61.00,Metric Tonnes,710.66,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-04-2021,25.00,Metric Tonnes,642.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,21-04-2021,43.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,22-04-2021,46.00,Metric Tonnes,615.22,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,23-04-2021,5.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,24-04-2021,40.00,Metric Tonnes,690.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-04-2021,23.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,26-04-2021,50.00,Metric Tonnes,780.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,27-04-2021,35.00,Metric Tonnes,707.14,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-04-2021,33.00,Metric Tonnes,818.18,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-04-2021,50.00,Metric Tonnes,770.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,30-04-2021,9.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-05-2021,52.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-05-2021,48.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-05-2021,32.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-05-2021,38.00,Metric Tonnes,765.79,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-05-2021,32.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-05-2021,9.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,08-05-2021,63.00,Metric Tonnes,707.14,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-05-2021,25.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-05-2021,52.00,Metric Tonnes,715.38,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-05-2021,42.00,Metric Tonnes,685.71,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-05-2021,40.00,Metric Tonnes,1000.00,Rs./Quintal
