,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
Maharashtra,Kolhapur,Vegetables,Onion,16-09-2021,170.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,17-09-2021,227.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,18-09-2021,340.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,20-09-2021,340.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,21-09-2021,393.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-09-2021,447.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-09-2021,466.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,24-09-2021,418.00,Metric Tonnes,1401.91,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-09-2021,559.00,Metric Tonnes,1400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-09-2021,519.00,Metric Tonnes,1402.89,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-09-2021,244.00,Metric Tonnes,1409.84,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-09-2021,367.00,Metric Tonnes,1602.72,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-09-2021,391.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-10-2021,271.00,Metric Tonnes,1795.57,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-10-2021,435.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-10-2021,479.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-10-2021,339.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-10-2021,433.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,07-10-2021,267.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-10-2021,267.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-10-2021,470.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-10-2021,6.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-10-2021,502.00,Metric Tonnes,2689.24,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-10-2021,588.00,Metric Tonnes,2794.90,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,14-10-2021,323.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,16-10-2021,384.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,18-10-2021,608.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,19-10-2021,393.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,20-10-2021,474.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,21-10-2021,406.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-10-2021,429.00,Metric Tonnes,1600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-10-2021,448.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-10-2021,398.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,26-10-2021,329.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-10-2021,387.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-10-2021,439.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-10-2021,539.00,Metric Tonnes,1502.78,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-10-2021,518.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-11-2021,422.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-11-2021,210.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-11-2021,150.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-11-2021,438.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-11-2021,331.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,08-11-2021,592.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-11-2021,443.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-11-2021,531.00,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-11-2021,606.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,12-11-2021,569.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,13-11-2021,694.00,Metric Tonnes,1798.27,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,15-11-2021,478.00,Metric Tonnes,1998.95,Rs./Quintal
